favicon_source,favicon_status,favicon_url,foundry_id,foundry_name,foundry_url,release_count
icon,ok,https://otherwherecollective.com/wp-content/uploads/2024/03/OC_favicon_68x68.gif,otherwhere-collective,Otherwhere Collective,https://otherwherecollective.com,2
,not_found,,overtype,Overtype,https://www.overtypefoundry.com/,2
,not_found,,o-plerou-studio,O’Plérou Studio,https://foundry.oplerou.studio/,2
icon,ok,https://www.paavolatype.com/wp-content/uploads/paavolatypestudio-smile.png,paavola-type-studio,Paavola Type Studio,https://www.paavolatype.com/,2
fallback:/favicon.ico,ok,http://phantom-foundry.com/favicon.ico,phantom-foundry,Phantom Foundry,http://phantom-foundry.com/,2
icon,ok,https://typefaces.pizza/favicon-32x32.png?v=22e9d6e1bb59541fd2cc96282772530f,pizza-typefaces,Pizza Typefaces,https://typefaces.pizza/,2
icon,ok,https://quintana-font.cl/media/site/3fdbac7101-1713557622/flags_letterings_1-32x.png,quintana-font,Quintana-Font,https://quintana-font.cl/,2
icon,ok,https://images.squarespace-cdn.com/content/v1/64ff3c848958ea102766a4cd/a5d990d8-ec87-46bc-bc07-9d51ca3dc51f/favicon.ico?format=100w,robin-pitchon,Robin Pitchon,https://www.robinpitchon.com/,2
,not_found,,softdrive-r-foundry,Softdrive® Foundry,https://www.softdrivefoundry.com/,2
,not_found,,souvenir-typefaces,Souvenir Typefaces,https://www.souvenirtypefaces.xyz/,2
icon,ok,https://images.squarespace-cdn.com/content/v1/69050e334f641c4f7345a407/50457ded-e791-4afd-a2c3-ed24cd290d84/favicon.ico?format=100w,that-s-weirdo-stuff,That’s Weirdo Stuff,https://www.thatsweirdostuff.com,2
fallback:/favicon.ico,ok,https://www.typearture.com/wp-content/uploads/2017/07/cropped-Typearture_Logo_512-01-32x32.png,typearture,Typearture,https://www.typearture.com/,2
icon,ok,https://images.squarespace-cdn.com/content/v1/5cc614d7c2e8e00001336c86/1556487140289-L56NNE4FXQ3AQNMQ98FG/favicon.ico?format=100w,typetanic,Typetanic,https://gregshutters.com,2
icon,ok,https://images.squarespace-cdn.com/content/v1/6025cf57520eeb43c0ed3d12/571e9eb9-7ba4-4c4c-a910-08ffee29ff8e/favicon.ico?format=100w,yeah-right-type,Yeah Right Type,https://yeahrighttype.com/,2
,not_found,,indestructible-type,indestructible type*,https://indestructibletype.com,2
fallback:/favicon.ico,ok,https://www.futurefonts.com/favicon.ico,abhijit-menon,Abhijit Menon,https://www.futurefonts.com/abhijit,1
fallback:/favicon.ico,ok,https://www.futurefonts.com/favicon.ico,adriana-garciduenas,Adriana Garcidueñas,https://www.futurefonts.com/adriana-garciduenas,1
,missing_foundry_url,,anna-khorash,Anna Khorash,,1
fallback:/favicon.ico,ok,https://www.futurefonts.com/favicon.ico,arlyn-ramos,Arlyn Ramos,https://www.futurefonts.com/arlynramos/,1
,not_found,,arphic,Arphic,https://www.arphic.com,1
icon,ok,https://static.cdninstagram.com/rsrc.php/yr/r/rzWiSjZRxk5.webp,benn-zorn,Benn Zorn,https://bennzorn.com/,1
icon,ok,https://black-foundry.com/favicon.png,black-foundry,Black Foundry,https://black-foundry.com/,1
icon,ok,https://bonezdesignz.com/wp-content/uploads/2022/11/cropped-13320728_1022488331172292_6565575974030462770_o-jpg-32x32.webp,bonez-designz,Bonez Designz,https://bonezdesignz.com,1
icon,ok,https://images.squarespace-cdn.com/content/v1/5e8ba98309ca9631bf1720b3/1599933287676-4SUNFU3F4NS83C6V51JH/favicon.ico?format=100w,brandon-nickerson-studio,Brandon Nickerson Studio,https://www.bnicks.com/,1
icon,ok,https://cjtype.com/images/favicon.ico,cj-type,CJ Type,https://cjtype.com/,1
fallback:/favicon.ico,ok,https://assets.squarespace.com/universal/default-favicon.ico,cabargatype,CabargaType,https://cabargatype.com/,1
icon,ok,https://www.c-a-s-t.com/wp/wp-content/uploads/2025/03/cropped-logo-cast-png-32x32.png,cast-type-foundry,Cast Type Foundry,https://www.c-a-s-t.com/,1
fallback:/favicon.ico,ok,http://castletype.com/favicon.ico,castletype,CastleType,http://castletype.com/,1
