designer_id,foundry_id,role,source
fred-shallcrass,frere-jones-type,designer,designers.affiliations
gabriel-figueiredo,typeoca,designer,designers.affiliations
geza-sipos,lapagelepage,Founder,designers.affiliations
aldo-novarese,nebiolo,Artistic Director,designers.affiliations
david-brezina,rosetta,designer,designers.affiliations
frantisek-storm,storm-type-foundry,designer,designers.affiliations
franziska-weitgruber,fantasia-type,designer,designers.affiliations
franziska-weitgruber,blaze-type,designer,designers.affiliations
frode-helland,monokrom,designer,designers.affiliations
hajime-kawakami,p22-type-foundry,designer,designers.affiliations
hamish-makgill,weekend-type,designer,designers.affiliations
shinntype,shinntype,designer,designers.affiliations
nina-st-ssinger,leksen-design,designer,designers.affiliations
nina-st-ssinger,frere-jones-type,Type Designer,designers.affiliations
catherine-dixon,commercial-type,Editing,designers.affiliations
mark-record,commercial-type,Director of font technology,designers.affiliations
caren-litherland,commercial-type,Writing & editing,designers.affiliations
tikhon-reztsov,shriftovik-type-foundry,"CEO, founder",designers.affiliations
alessandro-bombieri,cast-type-foundry,designer,designers.affiliations
alessandro-colizzi,cast-type-foundry,designer,designers.affiliations
gabriel-dubourg,velvetyne,designer,designers.affiliations
hannes-famira,famira-fonts,designer,designers.affiliations
abi-huynh,commercial-type,Graphic design,designers.affiliations
james-hultquist-todd,jtd-type-foundry,designer,designers.affiliations
james-hultquist-todd,hamilton-wood-type-collection,designer,designers.affiliations
james-hultquist-todd,p22-type-foundry,designer,designers.affiliations
joaquin-contreras-soto,fontfabric,designer,designers.affiliations
aleksandra-valuikina,shriftovik-type-foundry,"CTO, co-founder",designers.affiliations
alec-vivier-reynaud,en-travaux,designer,designers.affiliations
gabriele-lenz,wannatype,designer,designers.affiliations
harbor-bickmore,that-that-type,Founder,designers.affiliations
dino-sanchez,commercial-type,Director of Design Studio,designers.affiliations
doug-wilson,commercial-type,Writing,designers.affiliations
elizabeth-carey-smith,commercial-type,Graphic design,designers.affiliations
eric-ng,commercial-type,Graphic design,designers.affiliations
hrvoje-iv-i,commercial-type,Type Designer,designers.affiliations
aleksandra-kharina,shriftovik-type-foundry,CCO,designers.affiliations
alejandro-lo-celso,pampatype,designer,designers.affiliations
alejandro-paul,sudtipos,designer,designers.affiliations
anna-khorash,bold-monday,designer,designers.affiliations
anna-khorash,contrast-foundry,designer,designers.affiliations
anna-khorash,anna-khorash,designer,designers.affiliations
anna-khorash,nan,designer,designers.affiliations
edgar-walthert,font-spectrum,designer,designers.affiliations
edgar-walthert,bold-monday,designer,designers.affiliations
edgar-walthert,nouvelle-noire,designer,designers.affiliations
juri-zaech,juri-zaech,designer,designers.affiliations
justin-bihan,velvetyne,designer,designers.affiliations
jack-curry,commercial-type,Specimen design,designers.affiliations
lada-sobchenko,typetype-foundry,designer,designers.affiliations
alexandra-franks,f37,designer,designers.affiliations
maria-valuikina,shriftovik-type-foundry,Lead motion designer,designers.affiliations
ellmer-stefan,pyte-foundry,designer,designers.affiliations
gayaneh-bagdasaryan,brownfox,designer,designers.affiliations
harsh-patel,public-type,designer,designers.affiliations
hasto-nugroho,type-colony,designer,designers.affiliations
hector-gomez,self-released,designer,designers.affiliations
rachel-pidcock,commercial-type,Tour manager,designers.affiliations
ross-milne,commercial-type,Type Designer,designers.affiliations
julius-hui,commercial-type,Chinese type design collaborator,designers.affiliations
laura-meseguer,type-o-tones,designer,designers.affiliations
laura-meseguer,typetogether,designer,designers.affiliations
karina-kirillova,shriftovik-type-foundry,Technical officer,designers.affiliations
aleksandra-samulenkova,david-jonathan-ross,designer,designers.affiliations
aleksandra-samulenkova,bold-monday,designer,designers.affiliations
aleksandra-samulenkova,caketype,designer,designers.affiliations
alen-antony-francis,ooper-case,designer,designers.affiliations
daniel-perraudin,gallery-type,designer,designers.affiliations
daniel-quisek,displaay-type-foundry,designer,designers.affiliations
daniele-capo,cast-type-foundry,designer,designers.affiliations
dasha-lennhren,kyiv-type-foundry,designer,designers.affiliations
jarlath-hayes,signal-type-foundry,designer,designers.affiliations
kara-gordon,commercial-type,Type Designer,designers.affiliations
vance-wellenstein,commercial-type,Web and graphic design,designers.affiliations
jaume-ros,type-o-tones,designer,designers.affiliations
leonid-makovskiy,shriftovik-type-foundry,Producer,designers.affiliations
david-einwaller,the-eponymous-studio,designer,designers.affiliations
david-einwaller,david-einwaller,designer,designers.affiliations
david-einwaller,tightype,designer,designers.affiliations
david-einwaller,the-designers-foundry,designer,designers.affiliations
david-rust,optimo,designer,designers.affiliations
diego-aravena,w-type-foundry,designer,designers.affiliations
gerry-leonidas,rosetta,designer,designers.affiliations
erik-van-blokland,commercial-type,designer,designers.affiliations
erik-van-blokland,house-industries,designer,designers.affiliations
erik-van-blokland,letterror,designer,designers.affiliations
son-kit,commercial-type,Copywriter,designers.affiliations
leoni-sander,f37,designer,designers.affiliations
bbox-type,carrois-type-design,designer,designers.affiliations
bbox-type,bbox-type,Founder,designers.affiliations
tikhon-reztcov,shriftovik-type-foundry,ceo & founder,designers.affiliations
alex-bossi,blaze-type,designer,designers.affiliations
alexey-staroselets,self-released,designer,designers.affiliations
ed-benguiat,itc,Type Director,designers.affiliations
